"id","word"
"116198","demi-volte"
"75240","pyrénéisme"
"34284","brosser"
"214509","trapèze>gymnastique"
"2483658","mastre"
"8840566","=toes="
"58867","jet"
"247287","se muscler"
"108020","rameur"
"2377180","4-5-1"
"140793","Santé"
"5793369","sport de précision"
"108035","natation synchronisée"
"3302961","club de sport"
"157191","Où pourrait-on contracter des biceps ?"
"214534","_INFO-MEANING-FIGURED"
"239108","éducation physique et sportive"
"1545","baudrier"
"17929","puma"
"304654","En sports"
"321035","cyclisme sur route"
"5793353","sport de force"
"1771023","fanatique>passionné"
"6424180","heurt contre ou par du matériel de sport"
"99862","caviar"
"116249","base-ball"
"3966501","défenseuse"
"17947","Armée"
"239128","_COM"
"9755","maillot de bain"
"116250","tandémiste"
"165407","Avec quoi pourrait-on épater une enfant ?"
"198174","crise cardiaque"
"2475525","faire du mur"
"2377222","bouzkachi"
"9763","croix"
"2377223","bozkachi"
"26150","Roland Garros"
"26152","frein"
"17960","casaque"
"329263","viser [objet] objectif"
"50733","serveur"
"99889","retenir"
"9780","engin"
"140856","juge"
"34362","kyu"
"140862","note"
"2360858","papinade"
"239170","verrou>alpinisme"
"214592","sabre>escrime"
"99906","brasse"
"149066","marqueuse"
"50761","vélodrome"
"181833","coup de pied de coin"
"3671670","pagelle>poteau"
"247372","gymnastique douce"
"607832","serré>Adj:"
"2565747","traileur"
"91732","jumping"
"230997","adénosine triphosphate"
"50776","paddock"
"26200","endurance"
"124504","aviron"
"42588","pédale"
"116316","canoéiste"
"67169","géantiste"
"83555","motonautique"
"67170","rocher"
"3147348","chopper>cheval"
"1795710","canon>Adj:"
"8005151","caracoler>équitation"
"157284","lieu>poisson"
"2483788","plongée sportive"
"329321","essayer [objet] sport"
"124526","pétanque"
"75377","chaussure"
"4908600","qualification>sport"
"99957","barefoot"
"599677","coupé>Adj:"
"116341","baudruche"
"18036","dépitonneur"
"157304","court>Nom:Mas+SG"
"419450","hack"
"67196","cyclisme"
"91779","sculler"
"1656475","accident de sports d\'hiver"
"26242","arçons"
"99970","chopper"
"6301411","exercices physiques"
"140929","challenger"
"5564119","1re ligue"
"132740","redoublé"
"124550","tirer"
"263820","chevalin>cheval"
"231049","faire une course"
"231055","coup de feu>athlétisme"
"18060","pitonner"
"132751","transpiration"
"214670","manchette>catch"
"108172","avalement"
"42637","immobiliser"
"132753","enduro"
"124572","criquet"
"116382","sueur"
"34467","tournoi"
"59052","retour"
"2459273","main de la lance"
"116397","jodhpurs"
"100013","professionnalisme"
"50867","cabrer"
"108215","planche à voile"
"9910","jogger"
"394928","faute>sport"
"2156183","consolante"
"75446","bouclé"
"1723","pirouette"
"67258","dégagement"
"255679","équipe sportive"
"34492","dropper"
"255678","directeur sportif"
"173759","chute libre"
"59073","contre-attaquer"
"255680","équipe>sport"
"75458","habillé"
"1731","médecine-ball"
"26309","démarquer"
"2533101","oeillères australiennes"
"3311353","manque de sport"
"83661","panaméricain"
"18128","élan"
"2442996","rerider"
"599773","shooter>Ver:Inf"
"255702","faire du sport en chambre"
"255701","pratiquer le sport en chambre"
"116438","crossman"
"2434809","câbrer"
"9951","concourir"
"2467527","poteau sortant"
"214758","kung fu"
"321260","plastron>escrime"
"255723","manager>imprésario"
"91883","jongler"
"214761","prise>art martial"
"2442953","roller derby"
"181996","demi de mêlée"
"2475722","zlataner"
"1926898","toss"
"239347","médaille>sport"
"116466","café au lait"
"1935081","tuba frontal"
"1935080","lunettes de bain"
"1935079","grand chien"
"67322","enrouler"
"2377433","duathlon"
"3229391","déchausser>ski"
"9982","funboard"
"239362","touche>escrime"
"263941","quart-temps"
"18178","amaigrissement"
"1664797","aller à courbette"
"239365","touche>sport"
"6801263","=hand="
"263947","c\'est de la triche"
"141075","spatule"
"345878","célébrité sportive"
"1815","mono"
"214809","botte>botte secrète"
"3475243","skeleton>sport"
"26399","varappeur"
"2475834","zone des buts"
"141091","coupe"
"67365","avertir"
"3294998","escrimer>escrime"
"3172119","mur>football"
"3172120","mur>escrime"
"2451213","pointard"
"231211","Neville Londubat"
"3172121","mur>cyclisme"
"67368","mécanique"
"67371","entrechat"
"1664818","aller par haut"
"2377481","longboard"
"255789","football masculin"
"34608","renvoyer"
"1664808","aller bride en main"
"59186","se pointer"
"51003","tie-break"
"1664805","aller aux pâquerettes"
"313158","faire la roue>gymnastique"
"4499206","Andre Kirk Agassi"
"239431","être battu"
"1787742","emballement>cheval"
"18248","poids léger"
"2344811","téléphoné>Adj:"
"386892","vie sportive"
"2344810","téléphoné>Ver:PPas"
"42826","houligan"
"5941009","Arborescence des sports nautiques"
"1845073","spike"
"1870","mener"
"83792","blason"
"3786603","jammeur"
"51027","gymnaste"
"2099061","volleyeuse"
"395102","patinage de vitesse sur piste courte"
"452446","driver>Ver:Inf"
"395103","patinage de vitesse courte piste"
"395101","short-track"
"2443134","cinq-quatre-un"
"100188","aubère"
"132959","survêtement"
"3286895","joueuse>sport"
"51040","culture physique"
"3082057","surfeur>sport"
"100202","sambo"
"567139","jeu de pelote"
"18285","papillon"
"83824","équitation"
"2582355","wacky carpet"
"108412","réglette"
"42877","agonistique"
"362376","lutte libre"
"2377642","quatre-cinq-un"
"18324","cavalière"
"42902","bob"
"51095","tord-nez"
"255899","maître-nageur"
"67480","mi-temps"
"59290","step"
"2418617","paralympien"
"2475963","screw job"
"255901","remise en forme"
"133021","flot"
"92069","étirement"
"2557827","but égalisateur"
"51109","ballon rond"
"280483","handibasket"
"26538","Ayrton Senna"
"6080502","Le Grand Défi"
"10157","parachutiste"
"26542","links"
"239533","terrain>sport"
"157617","voile>Nom:Fem+SG"
"231350","slalom géant"
"141236","télémark"
"264115","tenue sportive"
"10168","tennis de table"
"124856","ace"
"231353","course camarguaise"
"92091","mât"
"182201","échange décisif"
"26558","se salir"
"2377627","4-3-3"
"2926574","fond>sport"
"288711","Raymond Kopa"
"5498768","victoire française"
"67525","caramel"
"223173","_POL-POS"
"75719","doublet"
"223172","_POL-NEG"
"141253","perche"
"1996","protège-tibia"
"1997","spore"
"10192","bâtonniste"
"214993","main>faute au football"
"354263","finale féminine"
"100307","hot-dog"
"18392","brisé"
"10202","gueuse"
"354264","finale masculine"
"247774","suspensoir>sport"
"18403","paquet"
"2022","cordage"
"247781","estrapade>gymnastique"
"157674","Avec quoi une personne pourrait gagner ?"
"2026","journal"
"2787271","dégager>escrime"
"67569","pisteur"
"239607","marquer à la culotte"
"59381","voiture-balai"
"26618","épaulé-jeté"
"75772","stem"
"567285","pom-pom girl"
"567287","cheerleading"
"8054661","=mini="
"18433","sellerie"
"133120","excitation"
"190470","kitesurf"
"223239","Formule 1>sport automobile"
"75781","lulu"
"3835967","Springbok"
"2385954","premier poteau"
"231435","jorkyball"
"108557","balancine"
"75793","Michael Schumacher"
"51217","puck"
"378903","sciences du sport"
"43027","vainqueur"
"362515","lésion traumatique"
"231448","demi de mélée"
"321567","perte>échec"
"337945","aviation de sport"
"1656839","chute de ski"
"4245600","snowcross"
"34850","escapade"
"157734","wii"
"2566146","coup de coin"
"223268","Raymond Domenech"
"280622","canyonisme"
"2557965","randonnée à cheval"
"174124","uf"
"2402314","entraîneure"
"2100","anglo-arabe"
"141367","lune"
"141364","Coupe de l\'America"
"34872","dada"
"2517022","base-jumpeur"
"2517023","cybistique"
"141369","station de sports d\'hiver"
"215101","cerf volant"
"10302","barreau"
"124998","épéiste"
"100426","développé"
"100432","intérieur"
"215120","hors piste"
"92249","rotation"
"10330","finale"
"2377854","temps de base"
"6801469","=stress fracture="
"100448","freiner"
"1280113","sportif>sport"
"108648","emballé"
"125034","finish"
"18543","raid"
"165997","qui fait suer"
"7030811","=squash="
"26738","percer"
"1484898","lapta"
"51317","cricket"
"34933","moyen"
"125053","entretien"
"223358","calade"
"92287","sauteur"
"1484904","fracture du bassin"
"51331","rosse"
"43141","mêlée"
"67725","partant"
"3557563","joueur de rugby à XV"
"34958","se dérober"
"2500777","trailer"
"182413","faux départ"
"256147","course à cheval"
